100, 0, 135,  1711555226.5961
100, 0, 135,  1711555226.6028
100, 1, 134,  1711555226.603
100, 2, 133,  1711555226.6026
100, 5, 130,  1711555226.6019
100, 7, 128,  1711555226.6021
100, 11, 124,  1711555226.6028
100, 16, 119,  1711555226.6032
100, 21, 114,  1711555226.6005
100, 27, 108,  1711555226.6012
100, 33, 102,  1711555226.6018
100, 41, 94,  1711555226.5961
100, 51, 84,  1711555226.6006
100, 59, 76,  1711555226.6009
100, 72, 63,  1711555226.5982
100, 81, 54,  1711555226.6024
100, 93, 42,  1711555226.6015
100, 104, 31,  1711555226.6019
100, 116, 19,  1711555226.6031
70.0, 128, 7,  1711555226.6023
-60.0, 141, -6,  1711555226.6012
-100, 153, -18,  1711555226.6009
-100, 163, -28,  1711555226.6017
-100, 173, -38,  1711555226.6028
-100, 180, -45,  1711555226.6023
-100, 187, -52,  1711555226.6027
-100, 195, -60,  1711555226.6014
-100, 200, -65,  1711555226.6018
-100, 205, -70,  1711555226.6022
-100, 207, -72,  1711555226.6028
-100, 210, -75,  1711555226.6026
-100, 212, -77,  1711555226.601
-100, 213, -78,  1711555226.6019
-100, 213, -78,  1711555226.602
-100, 211, -76,  1711555226.6029
-100, 209, -74,  1711555226.6028
-100, 207, -72,  1711555226.6024
-100, 203, -68,  1711555226.6015
-100, 199, -64,  1711555226.6018
-100, 194, -59,  1711555226.6029
-100, 190, -55,  1711555226.6028
-100, 184, -49,  1711555226.603
-100, 176, -41,  1711555226.6016
-100, 169, -34,  1711555226.6018
-100, 160, -25,  1711555226.6029
-100, 153, -18,  1711555226.6028
-90.0, 144, -9,  1711555226.6029
10.0, 134, 1,  1711555226.6006
100.0, 125, 10,  1711555226.6016
100, 115, 20,  1711555226.6021
100, 107, 28,  1711555226.6028
100, 101, 34,  1711555226.603
100, 95, 40,  1711555226.6013
100, 90, 45,  1711555226.6019
100, 86, 49,  1711555226.6002
100, 83, 52,  1711555226.6016
100, 80, 55,  1711555226.6017
100, 79, 56,  1711555226.6003
100, 79, 56,  1711555226.5996
100, 79, 56,  1711555226.6016
100, 80, 55,  1711555226.6015
100, 81, 54,  1711555226.6017
100, 85, 50,  1711555226.6017
100, 88, 47,  1711555226.6021
100, 92, 43,  1711555226.602
100, 96, 39,  1711555226.6028
100, 101, 34,  1711555226.603
100, 107, 28,  1711555226.6019
100, 114, 21,  1711555226.6014
100, 121, 14,  1711555226.5977
60.0, 129, 6,  1711555226.6028
-30.0, 138, -3,  1711555226.6029
-100, 147, -12,  1711555226.6018
-100, 154, -19,  1711555226.6016
-100, 160, -25,  1711555226.6007
-100, 166, -31,  1711555226.6028
-100, 170, -35,  1711555226.6029
-100, 173, -38,  1711555226.6027
-100, 176, -41,  1711555226.6018
-100, 178, -43,  1711555226.6019
-100, 179, -44,  1711555226.602
-100, 179, -44,  1711555226.6029
-100, 178, -43,  1711555226.6029
-100, 177, -42,  1711555226.6028
-100, 174, -39,  1711555226.6012
-100, 171, -36,  1711555226.6019
-100, 168, -33,  1711555226.602
-100, 163, -28,  1711555226.6029
-100, 158, -23,  1711555226.6028
-100, 153, -18,  1711555226.6028
-100, 147, -12,  1711555226.6018
-60.0, 141, -6,  1711555226.6019
20.0, 133, 2,  1711555226.602
100.0, 125, 10,  1711555226.6023
100, 119, 16,  1711555226.6029
100, 115, 20,  1711555226.6025
100, 109, 26,  1711555226.6019
100, 106, 29,  1711555226.6018
100, 103, 32,  1711555226.6021
100, 101, 34,  1711555226.6029
100, 99, 36,  1711555226.6029
100, 99, 36,  1711555226.603
100, 100, 35,  1711555226.6018
100, 101, 34,  1711555226.6019
100, 103, 32,  1711555226.602
100, 106, 29,  1711555226.6031
100, 109, 26,  1711555226.6032
100, 113, 22,  1711555226.6025
100, 118, 17,  1711555226.602
100, 124, 11,  1711555226.6021
50.0, 130, 5,  1711555226.6027
-20.0, 137, -2,  1711555226.6028
-80.0, 143, -8,  1711555226.6025
-100, 149, -14,  1711555226.6019
-100, 153, -18,  1711555226.602
-100, 157, -22,  1711555226.6029
-100, 161, -26,  1711555226.6029
-100, 162, -27,  1711555226.603
-100, 163, -28,  1711555226.6019
-100, 163, -28,  1711555226.6028
-100, 163, -28,  1711555226.6028
-100, 162, -27,  1711555226.6029
-100, 160, -25,  1711555226.6025
-100, 157, -22,  1711555226.602
-100, 154, -19,  1711555226.602
-100, 150, -15,  1711555226.6028
-100.0, 145, -10,  1711555226.6028
-60.0, 141, -6,  1711555226.6025
10.0, 134, 1,  1711555226.6014
70.0, 128, 7,  1711555226.6018
100, 123, 12,  1711555226.6029
100, 119, 16,  1711555226.6028
100, 116, 19,  1711555226.603
100, 113, 22,  1711555226.6019
100, 111, 24,  1711555226.602
100, 110, 25,  1711555226.6021
100, 110, 25,  1711555226.6021
100, 111, 24,  1711555226.598
100, 113, 22,  1711555226.603
100, 115, 20,  1711555226.602
100, 117, 18,  1711555226.6017
100, 121, 14,  1711555226.6021
100.0, 125, 10,  1711555226.6029
40.0, 131, 4,  1711555226.6028
0.0, 135, 0,  1711555226.6027
-60.0, 141, -6,  1711555226.601
-100.0, 145, -10,  1711555226.6018
-100, 149, -14,  1711555226.602
-100, 152, -17,  1711555226.6029
-100, 154, -19,  1711555226.602
-100, 155, -20,  1711555226.6024
-100, 155, -20,  1711555226.6015
-100, 155, -20,  1711555226.6018
-100, 154, -19,  1711555226.6021
-100, 151, -16,  1711555226.602
-100, 149, -14,  1711555226.603
-100.0, 145, -10,  1711555226.6027
-60.0, 141, -6,  1711555226.6019
-20.0, 137, -2,  1711555226.6019
40.0, 131, 4,  1711555226.6027
80.0, 127, 8,  1711555226.6029
100, 123, 12,  1711555226.6025
100, 120, 15,  1711555226.6019
100, 118, 17,  1711555226.6029
100, 117, 18,  1711555226.6029
100, 117, 18,  1711555226.603
100, 117, 18,  1711555226.6027
100, 119, 16,  1711555226.602
100, 121, 14,  1711555226.602
100, 124, 11,  1711555226.6029
80.0, 127, 8,  1711555226.6028
30.0, 132, 3,  1711555226.598
-10.0, 136, -1,  1711555226.6013
-60.0, 141, -6,  1711555226.6016
