100, 0,  135
100, 1,  134
100, 1,  134
100, 1,  134
100, 1,  134
100, 2,  133
100, 3,  132
100, 4,  131
100, 5,  130
100, 6,  129
100, 7,  128
100, 9,  126
100, 10,  125
100, 12,  123
100, 14,  121
100, 16,  119
100, 17,  118
100, 19,  116
100, 21,  114
100, 23,  112
100, 25,  110
100, 27,  108
100, 30,  105
100, 32,  103
100, 34,  101
100, 37,  98
100, 39,  96
100, 41,  94
100, 44,  91
100, 46,  89
100, 48,  87
100, 51,  84
100, 54,  81
100, 56,  79
100, 58,  77
100, 61,  74
100, 65,  70
100, 67,  68
100, 69,  66
100, 72,  63
100, 74,  61
100, 77,  58
100, 80,  55
100, 82,  53
100, 85,  50
100, 88,  47
100, 91,  44
100, 94,  41
100, 97,  38
100, 99,  36
100, 101,  34
100, 105,  30
100, 107,  28
100, 110,  25
100, 113,  22
100, 116,  19
100, 118,  17
100, 121,  14
100, 125,  10
100, 127,  8
100, 131,  4
100, 133,  2
0, 135,  0
-100, 138,  -3
-100, 141,  -6
-100, 144,  -9
-100, 146,  -11
-100, 148,  -13
-100, 149,  -14
-100, 151,  -16
-100, 152,  -17
-100, 153,  -18
-100, 153,  -18
-100, 154,  -19
-100, 154,  -19
-100, 154,  -19
-100, 154,  -19
-100, 153,  -18
-100, 151,  -16
-100, 150,  -15
-100, 149,  -14
-100, 148,  -13
-100, 147,  -12
-100, 145,  -10
-100, 144,  -9
-100, 142,  -7
-100, 141,  -6
-100, 139,  -4
-100, 138,  -3
0, 135,  0
100, 134,  1
100, 131,  4
100, 130,  5
100, 129,  6
100, 128,  7
100, 127,  8
100, 126,  9
100, 126,  9
100, 126,  9
100, 126,  9
100, 126,  9
100, 127,  8
100, 127,  8
100, 128,  7
100, 129,  6
100, 130,  5
100, 131,  4
100, 132,  3
100, 134,  1
0, 135,  0
-100, 136,  -1
-100, 138,  -3
-100, 139,  -4
-100, 140,  -5
-100, 141,  -6
-100, 141,  -6
-100, 141,  -6
-100, 141,  -6
